Ticker;SimFinId;Currency;Fiscal Year;Fiscal Period;Report Date;Publish Date;Restated Date;Shares (Basic);Shares (Diluted);Revenue;Cost of Revenue;Gross Profit;Operating Expenses;Selling, General & Administrative;Research & Development;Depreciation & Amortization;Operating Income (Loss);Non-Operating Income (Loss);Interest Expense, Net;Pretax Income (Loss), Adj.;Abnormal Gains (Losses);Pretax Income (Loss);Income Tax (Expense) Benefit, Net;Income (Loss) from Continuing Operations;Net Extraordinary Gains (Losses);Net Income;Net Income (Common)
ALNA;9076242;USD;2021;FY;2021-12-31;2022-03-31;2022-03-31;89382587;89382587;;;;-47649000;-12677000;-34972000;;-47649000;-1014000;;-48663000;;-48663000;;-48663000;;-48663000;-48663000
ALNY;325251;USD;2018;FY;2018-12-31;2019-02-14;2021-02-11;100590000;100590000;74908000;-1802000;73106000;-887779000;-382359000;-505420000;;-814673000;53999000;29262000;-760674000;;-760674000;-823000;-761497000;;-761497000;-761497000
ALNY;325251;USD;2019;FY;2019-12-31;2020-02-13;2022-02-10;109264000;109264000;219750000;-25062000;194688000;-1134119000;-479005000;-655114000;;-939431000;54178000;33448000;-885253000;;-885253000;-863000;-886116000;;-886116000;-886116000
ALNY;325251;USD;2020;FY;2020-12-31;2021-02-11;2023-02-23;114986000;114986000;492853000;-78052000;414801000;-1243239000;-588420000;-654819000;;-828438000;-27162000;-84496000;-855600000;;-855600000;-2681000;-858281000;;-858281000;-858281000
ALNY;325251;USD;2021;FY;2021-12-31;2022-02-10;2024-02-15;119141000;119141000;844287000;-140144000;704143000;-1412795000;-620639000;-792156000;;-708652000;-143492000;-141442000;-852144000;;-852144000;-680000;-852824000;;-852824000;-852824000
ALNY;325251;USD;2022;FY;2022-12-31;2023-02-23;2024-02-15;121689000;121689000;1037418000;-168817000;868601000;-1653673000;-770658000;-883015000;;-785072000;-265335000;-131160000;-1050407000;-76586000;-1126993000;-4163000;-1131156000;;-1131156000;-1131156000
ALOT;995248;USD;2018;FY;2019-01-31;2019-04-11;2021-04-13;6881000;7084000;136657000;-82658000;53999000;-45279000;-37466000;-7813000;;8720000;-667000;-731000;8053000;-745000;7308000;-1578000;5730000;;5730000;5730000
ALOT;995248;USD;2019;FY;2020-01-31;2020-04-10;2022-04-18;7024000;7238000;133446000;-84688000;48758000;-46325000;-38241000;-8084000;;2433000;-1063000;-682000;1370000;0;1370000;389000;1759000;;1759000;1759000
ALOT;995248;USD;2020;FY;2021-01-31;2021-04-13;2023-04-17;7104000;7166000;116033000;-74673000;41360000;-38927000;-32721000;-6206000;;2433000;-254000;-955000;2179000;;2179000;-895000;1284000;;1284000;1284000
ALOT;995248;USD;2021;FY;2022-01-31;2022-04-18;2023-04-17;7104000;7166000;117480000;-73741000;43739000;-39483000;-32730000;-6753000;;4256000;-992000;-677000;3264000;3770000;7034000;-605000;6429000;;6429000;6429000
